Localization Key,Description,TitleNote,Note,ContractIntel,EncounterSummary,HaulingSummary,RewardList,ItemRewardList,Cooldown
Headhunters_Delivery_Outpost_title_001,[DESTINATION] Errand,,,,,,,,
Headhunters_Delivery_Outpost_desc_001,Got a box sitting at <EM4>[LOCATION]</EM4> that needs to make its way over to <EM4>[DESTINATION]</EM4>. Any chance you can knock this out real quick?\n\nMight be the easiest gig I’ve ever assigned out. Only real threat would be tripping over your own feet. A <EM4>handheld tractor beam</EM4> would also be smart to bring along. \n\nStows out.,,,"Reward: 48,250 aUEC\nTime Limit: 10 min\nEfficiency: 4,825 aUEC/min\nCooldown: 15 min\nRequires: Neutral",,,,,15 min
roughready_delivery_station_title_001,[DESTINATION] Stroll,,,,,,,,
roughready_delivery_station_desc_001,Any chance you’re at [DESTINATION]?\n\nNeed a box hustled from <EM4>[LOCATION]</EM4> to <EM4>[DESTINATION]</EM4>. Get it there on time and unbroken and it’ll be the easiest creds you’ll ever earn.   \n\n-Smokey,,,"Reward: 8,000 aUEC\nTime Limit: 4 min\nEfficiency: 2,000 aUEC/min\nCooldown: 45 min",,,,,45 min
headhunters_eliminateall_cfp_M_title_001,[LOCATION] has been greenlit, <EM4>[BP]</EM4>,,,,,,,
headhunters_eliminateall_cfp_M_desc_001,"Word came down from the Judge that we're to hit [LOCATION]. It's owned by CFP and security there have been less than hospitable to some of the locals, so they gotta go.\n\nThey may talk a big game about bringing security, but they got guns and are more than happy to use 'em.\n\nStows out.",,[BP Reward],"Reward: 70,750 aUEC\nTime Limit: 16 min\nEfficiency: 4,422 aUEC/min\nRequires: Jr. Contractor",,,"100% chance — 1 of 8\n- Atzkav Sniper Rifle\n- Atzkav ""Igniter"" Sniper Rifle\n- Atzkav ""Mirage"" Sniper Rifle\n- Calico Arms Tactical\n- Calico Core Tactical\n- Calico Legs Tactical\n- Calico Helmet Tactical\n- Atzkav Sniper Rifle Battery (8 cap)",,
headhunters_maintenance_M_title_001,[LOCATION] needs a bunch of repairs,,,,,,,,
headhunters_maintenance_M_desc_001,"Need somebody handy with tools to pop over to <EM4>[LOCATION]</EM4> and help out with some repairs. Our last repair guy knocked out most of the fixes but there's still some stuff that could use looking at.\n\nI think if you've got <EM4>six fuses</EM4>, a <EM4>salvaging tool</EM4>, and <EM4>enough RMC canisters to patch up around five pipes</EM4>, you should be covered.\n\nHopefully you know what you're doing, but just in case, the <EM4>“Guide to Maintenance”</EM4> in your mobiGlas Journal might be worth a look.\n\nStows out.",,,"Reward: 76,500 aUEC\nTime Limit: 15 min\nEfficiency: 5,100 aUEC/min\nCooldown: 30 min\nRequires: Sr. Contractor",,,,,30 min
cfp_defend_headhunters_M_title_001,[LOCATION] needs assistance, <EM4>[BP]</EM4>,,,,,,,
cfp_defend_headhunters_M_desc_001,"Headhunters have launched an unprovoked attack against [LOCATION]. Although we don't support the use of violence, Citizens for Prosperity won't let innocent people die. We need qualified security personnel to retake the outpost.\n\nLima Endicott\nLead Dispatcher\nCitizens for Prosperity",,[BP Reward],"Reward: 82,750 aUEC\nTime Limit: 20 min\nEfficiency: 4,138 aUEC/min\nCooldown: 45 min\nRequires: Jr. Contractor",,,100% chance — 1 of 6\n- Karna Rifle\n- Artimex Arms\n- Artimex Core\n- Artimex Legs\n- Artimex Helmet\n- Karna Rifle Battery (35 cap),,45 min
cfp_defend_boss_Generic_title_001,[LOCATION] needs help, <EM4>[BP]</EM4>,,,,,,,
cfp_defend_boss_Generic_desc_001,"We just received reports of a massive attack against [LOCATION] by a large group of armed individuals led by [TARGET], a notorious outlaw who has been threatening Citizens for Prosperity personnel for months. Details are still yet to be confirmed but we know there have been multiple casualties.\n\nCitizens for Prosperity is looking for any qualified security personnel to go and retake the outposts from these hostile elements. Our understanding is that [TARGET] tends to hide behind their soldiers, but will emerge if you take enough of the rank-and-file out.\n\nWhile we don't like to resort to violence, management can see no other way of resolving this situation and continuing our good work in the system.\n\nGood luck,\n\nLima Endicott\nLead Dispatcher\nCitizens for Prosperity",,[BP Reward],"Reward: 114,500 aUEC\nTime Limit: 25 min\nEfficiency: 4,580 aUEC/min\nCooldown: 45 min\nRequires: Veteran Contractor",,,100% chance — 1 of 6\n- Karna Rifle\n- Artimex Core Canuto\n- Artimex Arms Canuto\n- Artimex Legs Canuto\n- Artimex Helmet Canuto\n- Karna Rifle Battery (35 cap),,45 min
headhunters_maintenance_H_title_001,[LOCATION] needs massive repairs,,,,,,,,
headhunters_maintenance_H_desc_001,"The storms over at <EM4>[LOCATION]</EM4> are getting to be a real pain in the ass. One of our outposts got absolutely reamed yesterday and needs some serious repairs so we're looking for help.\n\nFigure you'd need to bring <EM4>about six fuses</EM4>, a <EM4>salvaging tool</EM4>, and <EM4>enough RMC canisters to deal with at most eight busted pipes</EM4>. We think that’ll cover, but you'll get exact numbers on site.\n\nHell with this place.\n\nHopefully you know what you're doing, but just in case, that <EM4>“Guide to Maintenance”</EM4> in your mobiGlas Journal might be worth a look.\n\nStows out.",,,"Reward: 132,750 aUEC\nTime Limit: 20 min\nEfficiency: 6,638 aUEC/min\nCooldown: 30 min\nRequires: Head Contractor",,,,,30 min
headhunters_maintenance_local_E_title_001,Last Landings needs some repairs,,,,,,,,
headhunters_maintenance_local_E_desc_001,"Hey if you’re reading this, we need a hand. An outpost of ours down at <EM4>[LOCATION]</EM4> got hit by a nasty storm and suffered some damage. None of our usual techs are available (or alive) to swing by so we wanna hire someone to go fix some fuses (no idea how many but <EM4>no more than three</EM4> I think). If you can bring a <EM4>salvaging tool</EM4> with <EM4>enough RMC canisters to sort out around three pipes</EM4>, we should be good.\n\nHopefully you know what you're doing, but just in case, the <EM4>“Guide to Maintenance”</EM4> in your mobiGlas Journal might be worth a look.\n\nStows out.",,,"Reward: 20,750 aUEC\nTime Limit: 10 min\nEfficiency: 2,075 aUEC/min\nCooldown: 30 min\nRequires: Jr. Contractor",,,,,30 min
headhunters_killship_gen_vlrt_title_001,[TARGET] needs stomping, <EM4>[BP]</EM4>,,,,,,,
headhunters_killship_gen_vlrt_desc_001,Got a small fry who thinks they can hit the Headhunters and get away with it. So [TARGET] tried to knock over one of our stashes and think they can get away with it. \n\nLast we heard they were spotted around [LOCATION]. We need someone to head over and send a very clear message who is the reigning power in the system.\n\nDo it quick and clean.\n\nStows out.,,[BP Reward],"Reward: 43,250 aUEC\nTime Limit: 12 min\nEfficiency: 3,604 aUEC/min\nCooldown: 45 min\nRequires: Jr. Contractor",Encounter: 2-4 ships\nTarget: 1 ship(s)\nReinforcements: 1-3 ship(s),,100% chance — 1 of 8\n- SnowBlind\n- Cryo-Star SL\n- M6A Cannon\n- M7A Cannon\n- M8A Cannon\n- Singe Cannon (S1)\n- Singe Cannon (S2)\n- Singe Cannon (S3),,45 min
vaughn_assassination_title_E,A Basic Task,,,,,,,,
vaughn_assassination_E_desc_001,"[TARGET] needs to be eliminated. My contacts tell me they will have one or two escorts, but nothing you can't handle. Find them near [LOCATION].\n\nMost Sincerely,\nVaughn",,,"Reward: 36,750 aUEC\nTime Limit: 12 min\nEfficiency: 3,063 aUEC/min\nRequires: Assassin In Training",Encounter: 2-3 ships\nTarget: 1 ship(s)\nReinforcements: 1-2 ship(s),,,,
openbounty_title,A Call to Arms,,,,,,,,
cdf_openbounty_desc_001,"The Civilian Defense Force needs YOU! Everyday, in the Stanton system innocent civilians are preyed upon by vicious outlaws and heartless criminals.\n\nNO MORE.\n\nUnder the authority of the UEE and the Militia Mobilization Initiative, the CDF is deputizing all combat minded individuals in good legal standing* to engage and neutralize any individuals or vehicles that they verify to have an active CrimeStat.\n\nIn exchange for these selfless contributions to the general populaces safety, the CDF will financially compensate those who successfully bring these criminals to justice with a reward** of [REWARDVALUE_WANTED1] UEC per outlaw dealt with. \n\nNow is your chance to help bring about a positive change for yourself and all other Stanton travelers. Sign up today and do your part!\n\n* Be aware, acquiring a CrimeStat will revoke CDF membership and cancel any outstanding contracts.\n** Please note, criminals encountered as part of paid contract work do not qualify for the reward.",,,,,,,,
vaughn_assassination_VE_title_intro,A Chance to Impress, <EM4>[Intro]</EM4>,,,,,,,
vaughn_assassination_VE_desc_intro,"Firstly, allow me to introduce myself. To put it rather dramatically, I deal in lives. \n\nPeople hire me when some soul needs to be extinguished, and I in return employ the perfect person to serve as the extinguishant. This provides security to all parties involved as none know the identity of the other. An ideal situation as far as these things go.\n\nI was recently made aware that you may possess skills that would make you of service to me and decided that it would be worthwhile to pursue the validity of this claim. \n \nIf you have any interest in forging a working relationship, I will need a demonstration of said skills. \n\nSeek out and discreetly kill [TARGET] over at [LOCATION].\n\nDo so successfully and you will be rewarded. Not only that, but you will have proven yourself worthy of further consideration.\n\nSincerely,\nVaughn",,,"Reward: 26,000 aUEC\nTime Limit: 11.5 min\nEfficiency: 2,261 aUEC/min\nRequires: Under Review",Encounter: 1 ships\nTarget: 1 ship(s),,,,
vaughn_assassination_title_M,A Complicated Task,,,,,,,,
vaughn_assassination_M_desc_001,"The latest name for our list is [TARGET].\n\nThey will be traveling around [LOCATION] in a better class of ship and with a better class of escort. Approach with caution, and try to make this a clean kill.\n\nRegards,\nVaughn",,,"Reward: 46,500 aUEC\nTime Limit: 11.2 min\nEfficiency: 4,152 aUEC/min\nRequires: Assassin In Training",Encounter: 2-3 ships\nTarget: 1 ship(s)\nReinforcements: 1-2 ship(s),,,,
vaughn_assassination_title_H,A Difficult Task,,,,,,,,
vaughn_assassination_H_desc_001,"Killing [TARGET] may end up being quite the challenge. They are aboard a well-protected ship near [LOCATION] and are most likely in the company of skilled escorts.\n\nA cautious approach may be wise.\n\nWarmest Regards,\nVaughn",,,"Reward: 70,750 aUEC\nTime Limit: 12.6 min\nEfficiency: 5,615 aUEC/min\nRequires: Assassin In Training",Encounter: 3-4 ships\nTarget: 1 ship(s)\nReinforcements: 2-3 ship(s),,,,
searchbodyspace_title_VH,Locate Missing Pilot: [TARGET],,,,,,,,
